"","CVE_LOC","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","POB_TOT","ANALF","SBASC","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"968","260301130","26","Sonora","030","Hermosillo","1130","El Bura",13,25,33.3333333333333,0,0,0,0,7.69230769230769,23.0769230769231,22.9493557025679,"Bajo",0.876550688585379,0.865487763618392,"Bajo"
"969","260301140","26","Sonora","030","Hermosillo","1140","El Veinte (La Peaña)",29,5,55,7.14285714285714,0,14.2857142857143,25,25,46.4285714285714,20.7642678880306,"Medio",0.793091254984033,0.774549102784922,"Medio"
"970","260301141","26","Sonora","030","Hermosillo","1141","La Peaña Nueva",306,4.34782608695652,50.7246376811594,2.72108843537415,0,0,9.52380952380952,8.16326530612245,44.8979591836735,22.4541009631489,"Bajo",0.857634432787649,0.844876325270442,"Bajo"
"971","260301147","26","Sonora","030","Hermosillo","1147","Santa Laura",8,0,50,0,0,0,0,25,0,23.901152907159,"Muy bajo",0.912904584785813,0.905099518621878,"Muy bajo"
"972","260301160","26","Sonora","030","Hermosillo","1160","San Valentín",27,18.75,75,0,0,0,0,22.2222222222222,62.962962962963,20.3586937386807,"Medio",0.77760034950971,0.757669977943725,"Medio"
"973","260301162","26","Sonora","030","Hermosillo","1162","Jacinto López",16,7.69230769230769,46.1538461538462,6.25,0,0,0,12.5,25,23.0340985534778,"Muy bajo",0.879787441951378,0.869014579028595,"Bajo"
"974","260301166","26","Sonora","030","Hermosillo","1166","El Chamizal (Salsipuedes)",10,14.2857142857143,71.4285714285714,0,0,0,0,20,60,20.8545114362748,"Medio",0.796538107496103,0.778304845401576,"Medio"
"975","260301177","26","Sonora","030","Hermosillo","1177","Los Pericos (El Cholay)",10,0,40,0,0,0,0,0,75,22.7018261197683,"Bajo",0.867096295657741,0.855186114125541,"Bajo"
"976","260301182","26","Sonora","030","Hermosillo","1182","El Quetzal (El Cholay)",8,16.6666666666667,85.7142857142857,62.5,0,0,12.5,0,37.5,19.1049177054673,"Medio",0.729712371324677,0.705490512804165,"Alto"
"977","260301208","26","Sonora","030","Hermosillo","1208","La Trinidad",9,0,37.5,0,100,22.2222222222222,0,55.5555555555556,77.7777777777778,17.3728068109963,"Alto",0.663554392123333,0.633403778298434,"Alto"
"978","260301214","26","Sonora","030","Hermosillo","1214","El Choyudo (Los Japoneses)",449,2.8391167192429,44.9685534591195,3.36322869955157,1.79372197309417,61.4349775784753,4.48430493273543,9.64125560538117,41.7040358744395,21.1706852427387,"Bajo",0.808614366688756,0.791463320021753,"Medio"
"979","260301215","26","Sonora","030","Hermosillo","1215","Tastiota",26,4.34782608695652,43.4782608695652,0,23.0769230769231,69.2307692307692,50,26.9230769230769,0,19.86278603715,"Medio",0.75865915382277,0.737031364715379,"Alto"
"980","260301216","26","Sonora","030","Hermosillo","1216","San Juanico",76,3.63636363636364,61.8181818181818,0,0,0,34.6666666666667,0,65.3333333333333,21.1780315707831,"Bajo",0.808894959703627,0.791769058413572,"Medio"
"981","260301221","26","Sonora","030","Hermosillo","1221","Las Conchas (Tortillería)",11,0,66.6666666666667,0,0,18.1818181818182,0,9.09090909090909,27.2727272727273,22.5682051739292,"Bajo",0.861992643354701,0.849625097404351,"Bajo"
"982","260301223","26","Sonora","030","Hermosillo","1223","San Francisco (El Sahuaral)",14,0,16.6666666666667,0,0,0,0,0,64.2857142857143,23.7336049037082,"Muy bajo",0.906505088447033,0.898126530645025,"Muy bajo"
"983","260301224","26","Sonora","030","Hermosillo","1224","Los Huicos",13,14.2857142857143,50,0,0,0,0,30.7692307692308,61.5384615384615,21.1296956842678,"Medio",0.807048770418074,0.789757422652,"Medio"
"984","260301226","26","Sonora","030","Hermosillo","1226","El Diamante Dos",12,14.2857142857143,71.4285714285714,0,0,100,0,41.6666666666667,66.6666666666667,17.303779639176,"Alto",0.660917899152707,0.630531015691505,"Alto"
"985","260301232","26","Sonora","030","Hermosillo","1232","Los Cuatitos (Siberia Tres)",19,0,38.4615384615385,0,0,0,0,0,50,23.5037527824778,"Muy bajo",0.897725886200639,0.888560579127946,"Bajo"
"986","260301261","26","Sonora","030","Hermosillo","1261","Campo Nuevo (El Capitán)",10,0,28.5714285714286,0,0,0,0,0,0,25.3143683739706,"Muy bajo",0.966882352467308,0.963914510479864,"Muy bajo"
