"","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","...1","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","POB_TOTAL","P6A14NAE","SBASC","PSDSS","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVSINT","OVSCEL","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"100","2602500010324","26","025","0001","0324",603,26,"Sonora","025","Empalme","0001","Empalme","0324",1483,2.99145299145299,14.2332415059688,11.3958192852326,0.269723533378287,0.269723533378287,0,0.134861766689144,1.14632501685772,27.7815239379636,3.77612946729602,20.5664194200944,124.193913142909,"Muy bajo",0.970156282373532,0.935455822541691,"Bajo"
"101","260250001049A","26","025","0001","049A",613,26,"Sonora","025","Empalme","0001","Empalme","049A",1381,3.43137254901961,16.5867689357622,8.55692530819434,0,0,0,0,0.435097897026831,24.2929659173314,3.48078317621465,10.5873821609862,124.755279945277,"Muy bajo",0.974541469346473,0.945573039981371,"Muy bajo"
"102","2602500010447","26","025","0001","0447",608,26,"Sonora","025","Empalme","0001","Empalme","0447",128,4,30.3370786516854,19.047619047619,1.6,1.6,16.8,6.4,14.4,90.4,17.6,33.6,116.745035567371,"Alto",0.911968443745527,0.801208635505736,"Alto"
"103","2602500010305","26","025","0001","0305",602,26,"Sonora","025","Empalme","0001","Empalme","0305",1129,7.06521739130435,24.0614987208465,13.0203720106289,0.975177304964539,0.354609929078014,1.95035460992908,0.797872340425532,1.41843971631206,40.3368794326241,4.25531914893617,31.7375886524823,121.697385269819,"Bajo",0.95065434271396,0.890462219019488,"Medio"
"104","2602500010714","26","025","0001","0714",626,26,"Sonora","025","Empalme","0001","Empalme","0714",188,10.5263157894737,12.6050420168067,9.57446808510638,0,0,1.59574468085106,4.25531914893617,1.59574468085106,48.936170212766,0,48.4042553191489,121.846932805932,"Bajo",0.951822551992515,0.893157435291703,"Medio"
"105","2602500010470","26","025","0001","0470",611,26,"Sonora","025","Empalme","0001","Empalme","0470",1043,5.08474576271187,29.6148738379814,16.0268714011516,0.958772770853308,0.383509108341323,6.04026845637584,4.9856184084372,5.17737296260786,38.9261744966443,7.86193672099712,32.7900287631831,120.255402607005,"Medio",0.939390114830319,0.864474126951346,"Medio"
"106","2602500010485","26","025","0001","0485",612,26,"Sonora","025","Empalme","0001","Empalme","0485",931,2.06896551724138,25.3256150506512,16.7741935483871,0.429645542427497,0.644468313641246,2.57787325456498,0.859291084854995,3.65198711063373,33.8345864661654,6.55209452201933,24.0601503759398,122.270952979027,"Bajo",0.955134838596353,0.900799326960246,"Bajo"
"107","2602500010184","26","025","0001","0184",594,26,"Sonora","025","Empalme","0001","Empalme","0184",1648,5.859375,25.0201126307321,14.502427184466,0.672371638141809,0.122249388753056,0.305623471882641,2.07823960880196,2.07823960880196,31.7237163814181,5.01222493887531,28.9119804400978,122.008164142782,"Bajo",0.953082030741531,0.896063222534769,"Bajo"
"108","2602500010358","26","025","0001","0358",606,26,"Sonora","025","Empalme","0001","Empalme","0358",1252,3.09734513274336,10.8860759493671,6.38977635782748,0,0,0,0.159872102318145,3.59712230215827,70.1838529176659,3.99680255795364,17.4260591526779,124.333525864393,"Muy bajo",0.971246884605307,0.937971988896098,"Muy bajo"
"109","2602500010752","26","025","0001","0752",627,26,"Sonora","025","Empalme","0001","Empalme","0752",128,4.16666666666667,15.8536585365854,10.9375,0,0,0,0,4.6875,75,6.25,32.03125,122.764070164461,"Bajo",0.958986885152327,0.909686517594309,"Bajo"
"110","2602900011232","26","029","0001","1232",685,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","1232",89,0,10.9375,16.8539325842697,0,1.12359550561798,0,3.37078651685393,1.12359550561798,35.9550561797753,1.12359550561798,10.1123595505618,124.425641985153,"Muy bajo",0.971966461201307,0.939632149097053,"Muy bajo"
"111","2602900011020","26","029","0001","1020",674,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","1020",930,17.3913043478261,20.3457446808511,10.4413347685684,0,0.108459869848156,0,0,2.06073752711497,30.58568329718,6.72451193058568,28.4164859002169,120.861876622063,"Medio",0.944127662435638,0.875404287865698,"Medio"
"112","2602900011035","26","029","0001","1035",675,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","1035",891,11.340206185567,21.5817694369973,13.8047138047138,0,0.897867564534231,0,1.34680134680135,2.91806958473625,28.6195286195286,7.07070707070707,21.0998877665544,121.405090761181,"Bajo",0.948371047609693,0.885194349441449,"Medio"
"113","2602900011139","26","029","0001","1139",682,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","1139",2010,4.74452554744525,21.4689265536723,12.3690773067332,0.199401794616152,0.847457627118644,1.34596211365902,0.747756729810568,1.54536390827517,23.629112662014,4.7357926221336,19.3419740777667,122.99092793175,"Bajo",0.960759012968986,0.913775055338011,"Bajo"
"114","2602900012298","26","029","0001","2298",702,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","2298",2154,5.90277777777778,29.5388207822534,14.7700882489549,0.337674867342016,0.820067534973468,0.192957067052581,2.60492040520984,4.63096960926194,39.2460125664572,11.256038647343,24.6502653159672,120.942538593478,"Medio",0.944757763511741,0.876858015981569,"Medio"
"115","2602900012315","26","029","0001","2315",704,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","2315",255,3.44827586206897,30.8056872037915,25.0980392156863,1.36986301369863,0.45662100456621,0.45662100456621,0,2.28310502283105,38.8127853881278,6.39269406392694,36.0730593607306,120.742936890844,"Medio",0.943198549852368,0.87326069989811,"Medio"
"116","260290001225A","26","029","0001","225A",698,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","225A",1099,19.4244604316547,32.6085515412662,14.1552511415525,0.0909918107370337,0.454959053685168,0.363967242948135,1.18289353958144,3.27570518653321,44.0400363967243,11.1010009099181,32.6660600545951,118.438651264014,"Alto",0.925198334538436,0.831731776863424,"Medio"
"117","2602900013578","26","029","0001","3578",771,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","3578",327,0,11.3122171945701,10.3975535168196,0,0,0,0,2.75229357798165,35.474006116208,5.5045871559633,14.3730886850153,125.057256302601,"Muy bajo",0.976900395422416,0.951015400405611,"Muy bajo"
"118","2602900013281","26","029","0001","3281",760,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","3281",92,4.76190476190476,22.0338983050847,12.2222222222222,0,0,0,0,0,71.1111111111111,4.44444444444444,16.6666666666667,123.053017807723,"Bajo",0.961244035799196,0.914894068385045,"Bajo"
"119","2602900013313","26","029","0001","3313",762,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","3313",429,5.61797752808989,20.1388888888889,23.0769230769231,0,0,0,0,6.75990675990676,36.8298368298368,2.0979020979021,26.3403263403263,122.166568611744,"Bajo",0.954319427058549,0.898918062630666,"Bajo"
"120","2602900013328","26","029","0001","3328",763,26,"Sonora","029","Guaymas","0001","Heroica Guaymas","3328",201,3.44827586206897,12.6760563380282,17.4129353233831,0,0,0.995024875621891,0,0.995024875621891,40.2985074626866,1.99004975124378,3.98009950248756,124.349637350476,"Muy bajo",0.971372741493509,0.938262357701824,"Muy bajo"
